dataset,sequence_identity,num_clusters
Fold01_200x_PE_samples_BINPACKER,1.00,648
Fold01_200x_PE_samples_BINPACKER,0.99,555
Fold01_200x_PE_samples_BINPACKER,0.98,520
Fold01_200x_PE_samples_BINPACKER,0.97,499
Fold01_200x_PE_samples_BINPACKER,0.96,479
Fold01_200x_PE_samples_BINPACKER,0.95,467
Fold01_200x_PE_samples_BINPACKER,0.94,460
Fold01_200x_PE_samples_BINPACKER,0.93,450
Fold01_200x_PE_samples_BINPACKER,0.92,441
Fold01_200x_PE_samples_BINPACKER,0.91,435
Fold01_200x_PE_samples_BINPACKER,0.90,430
Fold01_200x_PE_samples_BINPACKER,0.80,408
Fold01_200x_PE_samples_BINPACKER,0.70,369
Fold01_200x_PE_samples_BINPACKER,0.60,327
Fold01_200x_PE_samples_BINPACKER,0.50,249
Fold01_200x_PE_samples_BRIDGER,1.00,511
Fold01_200x_PE_samples_BRIDGER,0.99,481
Fold01_200x_PE_samples_BRIDGER,0.98,454
Fold01_200x_PE_samples_BRIDGER,0.97,442
Fold01_200x_PE_samples_BRIDGER,0.96,420
Fold01_200x_PE_samples_BRIDGER,0.95,410
Fold01_200x_PE_samples_BRIDGER,0.94,400
Fold01_200x_PE_samples_BRIDGER,0.93,389
Fold01_200x_PE_samples_BRIDGER,0.92,384
Fold01_200x_PE_samples_BRIDGER,0.91,383
Fold01_200x_PE_samples_BRIDGER,0.90,379
Fold01_200x_PE_samples_BRIDGER,0.80,356
Fold01_200x_PE_samples_BRIDGER,0.70,324
Fold01_200x_PE_samples_BRIDGER,0.60,281
Fold01_200x_PE_samples_BRIDGER,0.50,206
Fold01_200x_PE_samples_CSTONE,1.00,314
Fold01_200x_PE_samples_CSTONE,0.99,279
Fold01_200x_PE_samples_CSTONE,0.98,274
Fold01_200x_PE_samples_CSTONE,0.97,270
Fold01_200x_PE_samples_CSTONE,0.96,268
Fold01_200x_PE_samples_CSTONE,0.95,268
Fold01_200x_PE_samples_CSTONE,0.94,267
Fold01_200x_PE_samples_CSTONE,0.93,266
Fold01_200x_PE_samples_CSTONE,0.92,265
Fold01_200x_PE_samples_CSTONE,0.91,264
Fold01_200x_PE_samples_CSTONE,0.90,262
Fold01_200x_PE_samples_CSTONE,0.80,251
Fold01_200x_PE_samples_CSTONE,0.70,231
Fold01_200x_PE_samples_CSTONE,0.60,212
Fold01_200x_PE_samples_CSTONE,0.50,157
Fold01_200x_PE_samples_IDBA,1.00,415
Fold01_200x_PE_samples_IDBA,0.99,415
Fold01_200x_PE_samples_IDBA,0.98,413
Fold01_200x_PE_samples_IDBA,0.97,410
Fold01_200x_PE_samples_IDBA,0.96,404
Fold01_200x_PE_samples_IDBA,0.95,403
Fold01_200x_PE_samples_IDBA,0.94,400
Fold01_200x_PE_samples_IDBA,0.93,400
Fold01_200x_PE_samples_IDBA,0.92,398
Fold01_200x_PE_samples_IDBA,0.91,392
Fold01_200x_PE_samples_IDBA,0.90,389
Fold01_200x_PE_samples_IDBA,0.80,309
Fold01_200x_PE_samples_IDBA,0.70,244
Fold01_200x_PE_samples_IDBA,0.60,220
Fold01_200x_PE_samples_IDBA,0.50,181
Fold01_200x_PE_samples_MEGAHIT,1.00,460
Fold01_200x_PE_samples_MEGAHIT,0.99,455
Fold01_200x_PE_samples_MEGAHIT,0.98,454
Fold01_200x_PE_samples_MEGAHIT,0.97,448
Fold01_200x_PE_samples_MEGAHIT,0.96,444
Fold01_200x_PE_samples_MEGAHIT,0.95,443
Fold01_200x_PE_samples_MEGAHIT,0.94,438
Fold01_200x_PE_samples_MEGAHIT,0.93,434
Fold01_200x_PE_samples_MEGAHIT,0.92,431
Fold01_200x_PE_samples_MEGAHIT,0.91,426
Fold01_200x_PE_samples_MEGAHIT,0.90,416
Fold01_200x_PE_samples_MEGAHIT,0.80,305
Fold01_200x_PE_samples_MEGAHIT,0.70,244
Fold01_200x_PE_samples_MEGAHIT,0.60,209
Fold01_200x_PE_samples_MEGAHIT,0.50,178
Fold01_200x_PE_samples_MERGEPIPE,1.00,171246
Fold01_200x_PE_samples_MERGEPIPE,0.99,125304
Fold01_200x_PE_samples_MERGEPIPE,0.98,90994
Fold01_200x_PE_samples_MERGEPIPE,0.97,74095
Fold01_200x_PE_samples_MERGEPIPE,0.96,66776
Fold01_200x_PE_samples_MERGEPIPE,0.95,62747
Fold01_200x_PE_samples_MERGEPIPE,0.94,60109
Fold01_200x_PE_samples_MERGEPIPE,0.93,58180
Fold01_200x_PE_samples_MERGEPIPE,0.92,56663
Fold01_200x_PE_samples_MERGEPIPE,0.91,55299
Fold01_200x_PE_samples_MERGEPIPE,0.90,54007
Fold01_200x_PE_samples_MERGEPIPE,0.80,63327
Fold01_200x_PE_samples_MERGEPIPE,0.70,54457
Fold01_200x_PE_samples_MERGEPIPE,0.60,50816
Fold01_200x_PE_samples_MERGEPIPE,0.50,45253
Fold01_200x_PE_samples_PLASS,1.00,169583
Fold01_200x_PE_samples_PLASS,0.99,123204
Fold01_200x_PE_samples_PLASS,0.98,89402
Fold01_200x_PE_samples_PLASS,0.97,72782
Fold01_200x_PE_samples_PLASS,0.96,65620
Fold01_200x_PE_samples_PLASS,0.95,61892
Fold01_200x_PE_samples_PLASS,0.94,59037
Fold01_200x_PE_samples_PLASS,0.93,57324
Fold01_200x_PE_samples_PLASS,0.92,55784
Fold01_200x_PE_samples_PLASS,0.91,54479
Fold01_200x_PE_samples_PLASS,0.90,53244
Fold01_200x_PE_samples_PLASS,0.80,62352
Fold01_200x_PE_samples_PLASS,0.70,53895
Fold01_200x_PE_samples_PLASS,0.60,49876
Fold01_200x_PE_samples_PLASS,0.50,44384
Fold01_200x_PE_samples_RNABLOOM,1.00,2127
Fold01_200x_PE_samples_RNABLOOM,0.99,2049
Fold01_200x_PE_samples_RNABLOOM,0.98,1953
Fold01_200x_PE_samples_RNABLOOM,0.97,1832
Fold01_200x_PE_samples_RNABLOOM,0.96,1736
Fold01_200x_PE_samples_RNABLOOM,0.95,1672
Fold01_200x_PE_samples_RNABLOOM,0.94,1634
Fold01_200x_PE_samples_RNABLOOM,0.93,1601
Fold01_200x_PE_samples_RNABLOOM,0.92,1568
Fold01_200x_PE_samples_RNABLOOM,0.91,1532
Fold01_200x_PE_samples_RNABLOOM,0.90,1500
Fold01_200x_PE_samples_RNABLOOM,0.80,1156
Fold01_200x_PE_samples_RNABLOOM,0.70,857
Fold01_200x_PE_samples_RNABLOOM,0.60,737
Fold01_200x_PE_samples_RNABLOOM,0.50,580
Fold01_200x_PE_samples_SOAPDENOVO,1.00,680
Fold01_200x_PE_samples_SOAPDENOVO,0.99,680
Fold01_200x_PE_samples_SOAPDENOVO,0.98,680
Fold01_200x_PE_samples_SOAPDENOVO,0.97,680
Fold01_200x_PE_samples_SOAPDENOVO,0.96,678
Fold01_200x_PE_samples_SOAPDENOVO,0.95,677
Fold01_200x_PE_samples_SOAPDENOVO,0.94,676
Fold01_200x_PE_samples_SOAPDENOVO,0.93,676
Fold01_200x_PE_samples_SOAPDENOVO,0.92,672
Fold01_200x_PE_samples_SOAPDENOVO,0.91,665
Fold01_200x_PE_samples_SOAPDENOVO,0.90,662
Fold01_200x_PE_samples_SOAPDENOVO,0.80,637
Fold01_200x_PE_samples_SOAPDENOVO,0.70,596
Fold01_200x_PE_samples_SOAPDENOVO,0.60,527
Fold01_200x_PE_samples_SOAPDENOVO,0.50,350
Fold01_200x_PE_samples_SPADES,1.00,665
Fold01_200x_PE_samples_SPADES,0.99,662
Fold01_200x_PE_samples_SPADES,0.98,655
Fold01_200x_PE_samples_SPADES,0.97,651
Fold01_200x_PE_samples_SPADES,0.96,650
Fold01_200x_PE_samples_SPADES,0.95,649
Fold01_200x_PE_samples_SPADES,0.94,643
Fold01_200x_PE_samples_SPADES,0.93,640
Fold01_200x_PE_samples_SPADES,0.92,629
Fold01_200x_PE_samples_SPADES,0.91,622
Fold01_200x_PE_samples_SPADES,0.90,618
