assembler,sequence_identity,n_datasets,mean_clusters,se_clusters,min_clusters,max_clusters
Fold06,0.96,15,1100,0,1100,1100
Fold06,0.97,15,1163,0,1163,1163
Fold06,0.98,15,1240,0,1240,1240
Fold06,0.99,15,1384,0,1384,1384
Fold06,1,15,1602,0,1602,1602
Fold07,0.5,15,153,0,153,153
Fold07,0.6,15,246,0,246,246
Fold07,0.7,15,334,0,334,334
Fold07,0.8,15,523,0,523,523
Fold07,0.9,15,857,0,857,857
Fold07,0.91,15,892,0,892,892
Fold07,0.92,15,928,0,928,928
Fold07,0.93,15,958,0,958,958
Fold07,0.94,15,1003,0,1003,1003
Fold07,0.95,15,1054,0,1054,1054
Fold07,0.96,15,1099,0,1099,1099
Fold07,0.97,15,1161,0,1161,1161
Fold07,0.98,15,1235,0,1235,1235
Fold07,0.99,15,1370,0,1370,1370
Fold07,1,15,1602,0,1602,1602
Fold08,0.5,15,156,0,156,156
Fold08,0.6,15,252,0,252,252
Fold08,0.7,15,335,0,335,335
Fold08,0.8,15,539,0,539,539
Fold08,0.9,15,857,0,857,857
Fold08,0.91,15,895,0,895,895
Fold08,0.92,15,929,0,929,929
Fold08,0.93,15,964,0,964,964
Fold08,0.94,15,1006,0,1006,1006
Fold08,0.95,15,1057,0,1057,1057
Fold08,0.96,15,1094,0,1094,1094
Fold08,0.97,15,1157,0,1157,1157
Fold08,0.98,15,1234,0,1234,1234
Fold08,0.99,15,1374,0,1374,1374
Fold08,1,15,1604,0,1604,1604
Fold09,0.5,15,150,0,150,150
Fold09,0.6,15,258,0,258,258
Fold09,0.7,15,332,0,332,332
Fold09,0.8,15,523,0,523,523
Fold09,0.9,15,847,0,847,847
Fold09,0.91,15,880,0,880,880
Fold09,0.92,15,920,0,920,920
Fold09,0.93,15,953,0,953,953
Fold09,0.94,15,1000,0,1000,1000
Fold09,0.95,15,1052,0,1052,1052
Fold09,0.96,15,1098,0,1098,1098
Fold09,0.97,15,1162,0,1162,1162
Fold09,0.98,15,1231,0,1231,1231
Fold09,0.99,15,1371,0,1371,1371
Fold09,1,15,1601,0,1601,1601
Fold10,0.5,15,147,0,147,147
Fold10,0.6,15,257,0,257,257
Fold10,0.7,15,342,0,342,342
Fold10,0.8,15,543,0,543,543
Fold10,0.9,15,854,0,854,854
Fold10,0.91,15,884,0,884,884
Fold10,0.92,15,921,0,921,921
Fold10,0.93,15,954,0,954,954
Fold10,0.94,15,996,0,996,996
Fold10,0.95,15,1047,0,1047,1047
Fold10,0.96,15,1094,0,1094,1094
Fold10,0.97,15,1148,0,1148,1148
Fold10,0.98,15,1219,0,1219,1219
Fold10,0.99,15,1370,0,1370,1370
Fold10,1,15,1598,0,1598,1598
Fold11,0.5,15,151,0,151,151
Fold11,0.6,15,255,0,255,255
Fold11,0.7,15,336,0,336,336
Fold11,0.8,15,540,0,540,540
Fold11,0.9,15,855,0,855,855
Fold11,0.91,15,889,0,889,889
Fold11,0.92,15,930,0,930,930
Fold11,0.93,15,955,0,955,955
Fold11,0.94,15,1004,0,1004,1004
Fold11,0.95,15,1047,0,1047,1047
Fold11,0.96,15,1094,0,1094,1094
Fold11,0.97,15,1156,0,1156,1156
Fold11,0.98,15,1227,0,1227,1227
Fold11,0.99,15,1373,0,1373,1373
Fold11,1,15,1599,0,1599,1599
Fold12,0.5,15,149,0,149,149
Fold12,0.6,15,255,0,255,255
Fold12,0.7,15,336,0,336,336
Fold12,0.8,15,543,0,543,543
Fold12,0.9,15,858,0,858,858
Fold12,0.91,15,892,0,892,892
Fold12,0.92,15,927,0,927,927
Fold12,0.93,15,957,0,957,957
Fold12,0.94,15,1000,0,1000,1000
Fold12,0.95,15,1049,0,1049,1049
Fold12,0.96,15,1094,0,1094,1094
Fold12,0.97,15,1155,0,1155,1155
Fold12,0.98,15,1227,0,1227,1227
Fold12,0.99,15,1372,0,1372,1372
Fold12,1,15,1603,0,1603,1603
IDBA,0.5,180,181.91666666666669,0.6345560577606364,169,200
IDBA,0.6,180,217.08333333333334,0.657614285677781,199,231
IDBA,0.7,180,245.66666666666666,0.7079840852226951,228,259
IDBA,0.8,180,303.8333333333333,0.8355649820512413,279,321
IDBA,0.9,180,397.3333333333333,0.7563100990068258,376,418
IDBA,0.91,180,402.9166666666667,0.7942169546628086,384,427
IDBA,0.92,180,406.4166666666667,0.7495860641285246,388,428
IDBA,0.93,180,408.9166666666667,0.7477205169355094,390,430
IDBA,0.94,180,411.9166666666667,0.7477205169355093,394,431
IDBA,0.95,180,415.5,0.7008242021959663,400,433
IDBA,0.96,180,416.9166666666667,0.7489647313720643,400,435
IDBA,0.97,180,420.25,0.7617026160075694,402,440
IDBA,0.98,180,423.5,0.7722491276031322,405,443
IDBA,0.99,180,425.5,0.776457600876591,409,446
IDBA,1,180,425.6666666666667,0.7745566000968356,409,446
MEGAHIT,0.5,180,185.5,0.4662741099651964,177,198
MEGAHIT,0.6,180,227.08333333333334,0.5967465589491305,209,239
MEGAHIT,0.7,180,257.25,0.6524020935129744,244,277
MEGAHIT,0.8,180,319.25,0.6357776510711034,305,336
MEGAHIT,0.9,180,423.0833333333333,0.6279183881465515,412,440
MEGAHIT,0.91,180,429.75,0.6679166586800122,417,446
MEGAHIT,0.92,180,433.25,0.6466681545030781,421,447
MEGAHIT,0.93,180,436.0833333333333,0.6068037068703781,424,449
MEGAHIT,0.94,180,439.9166666666667,0.6396710727522016,427,453
MEGAHIT,0.95,180,444.75,0.7005750497787082,432,461
MEGAHIT,0.96,180,448.4166666666667,0.6954617006226149,436,464
MEGAHIT,0.97,180,453.1666666666667,0.6876357718200311,440,468
MEGAHIT,0.98,180,455.8333333333333,0.697049737419788,443,472
MEGAHIT,0.99,180,459.6666666666667,0.6893262663120308,447,477
MEGAHIT,1,180,465.25,0.68579970038654825,450,483
MERGEPIPE,0.5,180,46210.166666666664,52.34950793233201,45117,47385
MERGEPIPE,0.6,180,51834.25,61.928986520920716,50249,53523
